State of simulation to be used as initial state: 
V_max = 0.08
nu = 5e-06
system size = [ 100 , 100 ]
################################################################
i	j	f0	f1	f2	f3	f4	f5	f6	f7	f8	u	v	rho
0	0	0.464327	0.129484	0.116147	0.104067	0.116017	0.0323892	0.0260314	0.0260021	0.0323528	0.0364207	0.000187559	1.04682
1	0	0.464412	0.129509	0.116035	0.104085	0.116171	0.0323582	0.0260058	0.0260365	0.0323963	0.0364241	-0.000196229	1.04701
2	0	0.464354	0.129565	0.116116	0.104014	0.116062	0.0323989	0.0260095	0.0259974	0.0323838	0.0366103	7.78311e-05	1.0469
3	0	0.464346	0.129418	0.116154	0.104129	0.116019	0.0323732	0.0260473	0.026017	0.0323357	0.0362365	0.000193483	1.04684
4	0	0.4644	0.129544	0.116088	0.104051	0.116112	0.0323829	0.0260101	0.0260153	0.0323894	0.0365242	-3.32734e-05	1.04699
5	0	0.46432	0.129477	0.116081	0.104069	0.116078	0.0323696	0.0260177	0.026017	0.0323687	0.0364068	4.24558e-06	1.0468
6	0	0.464299	0.129406	0.116041	0.104117	0.116109	0.0323421	0.0260216	0.0260368	0.032361	0.0362406	-9.73219e-05	1.04673
7	0	0.464364	0.129483	0.11601	0.104084	0.116172	0.0323481	0.026003	0.0260393	0.0323932	0.0363906	-0.000232594	1.0469
8	0	0.464262	0.129426	0.116088	0.104084	0.116044	0.0323626	0.026026	0.0260162	0.0323503	0.0363176	6.31779e-05	1.04666
9	0	0.464354	0.1294	0.116112	0.104146	0.116065	0.0323565	0.0260418	0.0260314	0.0323435	0.0361852	6.70185e-05	1.04685
10	0	0.464362	0.129492	0.116109	0.104076	0.116072	0.0323783	0.0260231	0.0260148	0.0323679	0.0364172	5.33531e-05	1.0469
11	0	0.464253	0.12943	0.116054	0.104077	0.116072	0.032355	0.0260171	0.0260212	0.0323601	0.0363356	-2.61483e-05	1.04664
12	0	0.464302	0.129409	0.116052	0.104116	0.116099	0.0323455	0.0260237	0.0260343	0.0323588	0.0362449	-6.8394e-05	1.04674
13	0	0.464283	0.129486	0.116024	0.104045	0.116118	0.0323586	0.0260008	0.0260217	0.0323847	0.0364588	-0.00013439	1.04672
14	0	0.464264	0.129406	0.116035	0.104101	0.116097	0.0323428	0.0260183	0.0260324	0.0323602	0.0362649	-8.9874e-05	1.04666
