State of simulation to be used as initial state: 
V_max = 0.08
nu = 1e-05
system size = [ 100 , 200 ]
################################################################
i	j	f0	f1	f2	f3	f4	f5	f6	f7	f8	u	v	rho
0	0	0.47258	0.132713	0.118942	0.104514	0.117695	0.0293818	0.0294868	0.0228348	0.0371217	0.0397849	0.000149165	1.06527
1	0	0.472155	0.133188	0.11884	0.104358	0.117581	0.0296086	0.0293336	0.0229248	0.0370794	0.040617	0.000185039	1.06507
2	0	0.472218	0.132579	0.118841	0.104783	0.11756	0.0293196	0.0295687	0.0228927	0.0370465	0.0391623	0.000216491	1.06481
3	0	0.472113	0.133183	0.118865	0.104344	0.117575	0.0296208	0.0293354	0.0229249	0.0370754	0.0406321	0.000231453	1.06504
4	0	0.472188	0.132548	0.118868	0.104801	0.117558	0.029317	0.0295853	0.0228946	0.0370441	0.0390948	0.000256634	1.0648
5	0	0.47209	0.133195	0.118891	0.104327	0.117578	0.0296348	0.0293355	0.0229255	0.0370783	0.0406744	0.000262885	1.06506
6	0	0.472199	0.132527	0.118879	0.104817	0.117567	0.0293083	0.0295968	0.0228944	0.0370467	0.0390424	0.000259219	1.06484
7	0	0.472089	0.133216	0.118904	0.104311	0.117585	0.0296503	0.0293283	0.0229288	0.0370797	0.0407268	0.000271416	1.06509
8	0	0.472198	0.132505	0.118896	0.104833	0.117573	0.029304	0.0296084	0.0228964	0.0370461	0.038988	0.000274581	1.06486
9	0	0.472068	0.133238	0.118931	0.104292	0.117593	0.0296745	0.0293227	0.0229334	0.0370813	0.040789	0.00030138	1.06513
10	0	0.47218	0.132471	0.118927	0.104845	0.117575	0.0292972	0.0296263	0.0228939	0.0370467	0.0389249	0.000313743	1.06486
11	0	0.472076	0.133269	0.118937	0.104274	0.117603	0.029687	0.0293166	0.0229337	0.0370864	0.0408556	0.000298089	1.06518
12	0	0.472183	0.132445	0.118941	0.104864	0.117583	0.0292955	0.0296347	0.0228995	0.037042	0.0388628	0.000324971	1.06489
13	0	0.472012	0.133283	0.11899	0.104244	0.117599	0.0297207	0.0293118	0.0229383	0.0370858	0.0409276	0.000374682	1.06518
14	0	0.472156	0.132402	0.118977	0.104879	0.117582	0.0292822	0.0296605	0.0228934	0.0370454	0.0387804	0.000373936	1.06488
15	0	0.472017	0.133326	0.118992	0.104218	0.11761	0.0297377	0.0293025	0.0229388	0.0370912	0.0410196	0.000368185	1.06523
16	0	0.472175	0.132369	0.118971	0.104905	0.117585	0.0292632	0.0296722	0.0228916	0.0370443	0.0386969	0.000361728	1.06488
17	0	0.472026	0.133373	0.118982	0.104191	0.117614	0.0297525	0.029287	0.0229401	0.0370957	0.0411197	0.000348556	1.06526
18	0	0.472196	0.13234	0.118958	0.104942	0.11759	0.0292472	0.0296828	0.022895	0.0370417	0.0386032	0.000338812	1.06489
19	0	0.471996	0.1334	0.119009	0.104151	0.117606	0.0297744	0.0292717	0.0229428	0.0370967	0.0412164	0.000384584	1.06525
20	0	0.472212	0.13231	0.118944	0.10497	0.117587	0.0292163	0.0297022	0.0228843	0.0370502	0.0385208	0.000320127	1.06488
21	0	0.472101	0.133458	0.118933	0.104146	0.117626	0.0297648	0.0292485	0.0229411	0.0371033	0.0412927	0.000259139	1.06532
22	0	0.472303	0.132285	0.118891	0.105002	0.117599	0.0291901	0.0296951	0.0228866	0.0370415	0.0384386	0.000234077	1.06489
23	0	0.472046	0.133497	0.118951	0.104127	0.117626	0.0298103	0.0292299	0.0229498	0.0370996	0.0413957	0.000296744	1.06534
24	0	0.472191	0.13223	0.118961	0.10503	0.117586	0.0292005	0.0297271	0.0228944	0.0370336	0.0383273	0.000351928	1.06485
25	0	0.471981	0.1335	0.119033	0.104062	0.117608	0.0298209	0.0292331	0.0229467	0.037105	0.041476	0.000400989	1.06529
26	0	0.47231	0.132214	0.118916	0.105078	0.117613	0.0291536	0.0297423	0.0228849	0.037053	0.0382316	0.000245741	1.06496
27	0	0.471922	0.133565	0.119011	0.104129	0.117675	0.0299124	0.02918	0.0229476	0.0370809	0.041582	0.000374622	1.06542
28	0	0.471911	0.132061	0.119182	0.105049	0.117543	0.0292284	0.0297896	0.0228996	0.0370124	0.0380991	0.00069893	1.06468
29	0	0.471775	0.133554	0.11921	0.103954	0.117607	0.029887	0.0292601	0.0229524	0.0371048	0.0416584	0.000650349	1.0653
30	0	0.47211	0.132127	0.119074	0.10507	0.117596	0.0291762	0.0298019	0.022883	0.037044	0.0381192	0.00049646	1.06488
31	0	0.471923	0.133577	0.119107	0.103966	0.117621	0.029893	0.0292044	0.0229512	0.0371073	0.0417286	0.000493042	1.06535
32	0	0.472113	0.132112	0.119048	0.105091	0.117587	0.0291764	0.0297928	0.0228894	0.0370328	0.0380787	0.000476259	1.06484
33	0	0.471871	0.133571	0.119148	0.103944	0.117598	0.0298899	0.0292028	0.0229518	0.0371074	0.0417443	0.000547833	1.06528
34	0	0.472168	0.132117	0.119013	0.105113	0.117599	0.029155	0.0297972	0.0228856	0.0370408	0.0380477	0.00041268	1.06489
35	0	0.471887	0.133572	0.119133	0.103954	0.117609	0.0299191	0.0291788	0.0229555	0.0371009	0.0417756	0.000530112	1.06531
36	0	0.472075	0.132067	0.119092	0.105117	0.117594	0.0291805	0.0298132	0.0228938	0.0370285	0.0379883	0.000534718	1.06486
37	0	0.471702	0.133549	0.119227	0.103977	0.117606	0.029983	0.0291806	0.0229452	0.0371026	0.0418037	0.000692335	1.06527
38	0	0.471899	0.132005	0.11921	0.105068	0.117535	0.0291555	0.0298583	0.0228727	0.037034	0.0379434	0.000733838	1.06464
39	0	0.471829	0.133668	0.119091	0.103981	0.117714	0.0299538	0.0292063	0.0229167	0.0370775	0.0418568	0.000509274	1.06544
40	0	0.471935	0.132007	0.119171	0.105085	0.11754	0.0291813	0.0298229	0.022889	0.0370166	0.0379541	0.000685292	1.06465
41	0	0.471833	0.133622	0.119145	0.103914	0.117642	0.0299237	0.0292283	0.02294	0.0370952	0.0418255	0.000581855	1.06534
42	0	0.471987	0.132061	0.119134	0.105096	0.117578	0.0292093	0.0298118	0.0228941	0.0370211	0.0380262	0.000621022	1.06479
43	0	0.471664	0.133556	0.119294	0.103907	0.11756	0.0299432	0.0292016	0.0229591	0.0371081	0.0418136	0.000761731	1.06519
44	0	0.471986	0.132069	0.119105	0.105067	0.117538	0.0291264	0.0298457	0.0228536	0.0370527	0.0380241	0.000594425	1.06464
45	0	0.4721	0.13369	0.11891	0.103963	0.117619	0.0298126	0.0291832	0.0229173	0.0371367	0.0418424	0.000218313	1.06533
46	0	0.472478	0.132174	0.118689	0.105187	0.117574	0.0290455	0.0297296	0.0228618	0.0370599	0.0380368	-2.9661e-05	1.0648
47	0	0.472344	0.133704	0.118665	0.104013	0.11761	0.0297716	0.0291068	0.0229181	0.0371181	0.0418261	-9.67089e-05	1.06525
48	0	0.472665	0.132209	0.118531	0.105247	0.117569	0.0289933	0.0296871	0.022883	0.0370582	0.0379808	-0.000281352	1.06484
49	0	0.472172	0.133734	0.118742	0.103987	0.117593	0.0298727	0.0290722	0.0229754	0.0370657	0.0419055	4.91447e-05	1.06521
50	0	0.471943	0.132175	0.118925	0.105121	0.117486	0.0291913	0.0297592	0.0228997	0.0370164	0.0381415	0.000444781	1.06452
51	0	0.472548	0.132839	0.119093	0.104018	0.117713	0.0295797	0.0293407	0.0227961	0.0370437	0.0406651	0.000432605	1.06497
52	0	0.472216	0.132771	0.118887	0.104492	0.117561	0.0294367	0.0294561	0.0228703	0.0370422	0.0398516	0.000287939	1.06473
53	0	0.472045	0.132957	0.118899	0.104437	0.117528	0.0295231	0.0294205	0.022895	0.0370607	0.0401853	0.000336282	1.06477
54	0	0.47184	0.132844	0.118957	0.104561	0.11749	0.0294937	0.0295122	0.0228993	0.0370583	0.0398473	0.000484032	1.06466
55	0	0.471843	0.132994	0.118898	0.104462	0.117476	0.0295436	0.0294457	0.0228984	0.0370623	0.0401965	0.000422774	1.06462
56	0	0.472044	0.132775	0.118812	0.104533	0.117462	0.0294142	0.0294654	0.0228602	0.0370424	0.0398086	0.000307008	1.06441
57	0	0.47212	0.133042	0.118696	0.104319	0.11745	0.029509	0.0293243	0.0228502	0.0370476	0.0404983	0.000170595	1.06436
58	0	0.472239	0.13279	0.118673	0.10457	0.117478	0.0293691	0.0294286	0.0228596	0.0370414	0.0397787	8.64312e-05	1.06445
59	0	0.472483	0.133139	0.118338	0.104594	0.117485	0.0293852	0.029298	0.0228948	0.0370832	0.040219	-0.000414317	1.0647
60	0	0.475639	0.132874	0.11821	0.104502	0.117477	0.0302116	0.0288747	0.0236517	0.0357025	0.0391322	0.000435504	1.06714
61	0	0.472214	0.133038	0.118567	0.104486	0.117469	0.0294646	0.0293353	0.0229005	0.0370265	0.0402132	-2.72196e-05	1.0645
62	0	0.472303	0.13277	0.118544	0.104673	0.117464	0.0293083	0.0294478	0.0228446	0.0370586	0.039619	-6.28643e-05	1.06441
63	0	0.472381	0.133091	0.118448	0.104533	0.117467	0.029411	0.0293078	0.0228938	0.0370689	0.0402373	-0.000246579	1.0646
64	0	0.47232	0.132806	0.118518	0.104661	0.117467	0.02933	0.029414	0.0228879	0.037014	0.0396341	-0.000100101	1.06442
65	0	0.472157	0.133043	0.118629	0.104453	0.117467	0.0294853	0.0293408	0.0228946	0.0370361	0.0402773	5.38861e-05	1.06451
66	0	0.472178	0.132754	0.118649	0.104661	0.117461	0.0293473	0.0294624	0.0228741	0.0370346	0.0395882	8.35986e-05	1.06442
67	0	0.472151	0.133032	0.118666	0.104442	0.117474	0.0294875	0.0293484	0.0228895	0.0370445	0.0402845	8.9117e-05	1.06454
