State of simulation to be used as initial state: 
V_max = 0.08
nu = 5e-06
system size = [ 100 , 100 ]
################################################################
i	j	f0	f1	f2	f3	f4	f5	f6	f7	f8	u	v	rho
0	0	0.471326	0.132647	0.118162	0.104269	0.117243	0.0293086	0.0292473	0.0228048	0.0369842	0.040131	-0.000295611	1.06199
1	0	0.47123	0.132579	0.118097	0.104351	0.117182	0.0292644	0.0292708	0.0228173	0.0369485	0.0398893	-0.000297521	1.06174
2	0	0.471195	0.132587	0.118079	0.104353	0.117164	0.0292666	0.0292665	0.0228232	0.0369376	0.0398888	-0.000294802	1.06167
3	0	0.471184	0.132558	0.118075	0.104375	0.117158	0.0292538	0.0292777	0.0228243	0.0369325	0.0398138	-0.000289735	1.06164
4	0	0.471173	0.132579	0.118079	0.104358	0.117156	0.0292653	0.02927	0.0228255	0.0369325	0.0398658	-0.000282785	1.06164
5	0	0.471171	0.132555	0.11808	0.104375	0.117155	0.0292547	0.0292798	0.0228245	0.0369315	0.039808	-0.000278763	1.06163
6	0	0.471169	0.132576	0.118082	0.104358	0.117156	0.0292655	0.0292714	0.0228249	0.0369323	0.0398626	-0.000277077	1.06163
7	0	0.471173	0.132553	0.118082	0.104375	0.117155	0.0292545	0.02928	0.0228244	0.036931	0.0398063	-0.000276859	1.06163
8	0	0.471163	0.132576	0.118088	0.104354	0.117155	0.0292682	0.0292716	0.0228259	0.0369309	0.0398658	-0.000267577	1.06163
9	0	0.47116	0.132551	0.118092	0.104371	0.117154	0.029258	0.0292822	0.0228246	0.03693	0.0398073	-0.000260826	1.06162
10	0	0.471157	0.132573	0.118095	0.104353	0.117156	0.0292695	0.0292733	0.0228255	0.0369313	0.0398651	-0.000258783	1.06163
11	0	0.471156	0.132549	0.118097	0.104369	0.117155	0.0292595	0.0292828	0.0228247	0.0369297	0.0398088	-0.000254138	1.06162
12	0	0.471151	0.132571	0.118101	0.104351	0.117155	0.0292714	0.0292745	0.0228256	0.0369306	0.0398655	-0.000249581	1.06163
13	0	0.471151	0.132548	0.118102	0.104367	0.117155	0.0292611	0.029284	0.0228245	0.0369294	0.0398093	-0.000245857	1.06162
14	0	0.471146	0.13257	0.118105	0.104349	0.117155	0.0292725	0.0292754	0.0228255	0.0369303	0.0398655	-0.000243381	1.06163
15	0	0.471147	0.132546	0.118106	0.104366	0.117155	0.0292622	0.0292845	0.0228246	0.036929	0.0398097	-0.000241297	1.06162
