State of simulation to be used as initial state: 
V_max = 0.08
nu = 1e-05
system size = [ 100 , 200 ]
################################################################
i	j	f0	f1	f2	f3	f4	f5	f6	f7	f8	u	v	rho
0	0	0.45109	0.126576	0.113362	0.100232	0.112226	0.0280567	0.0281544	0.0219782	0.0352668	0.0388755	9.97094e-05	1.01694
1	0	0.451329	0.126484	0.113427	0.100038	0.112298	0.0281231	0.0280899	0.0219875	0.0351158	0.0389486	0.000234735	1.01689
2	0	0.451809	0.126671	0.113382	0.100169	0.112467	0.0281267	0.0280813	0.0220314	0.0351768	0.0389949	-8.3903e-05	1.01791
3	0	0.45153	0.126662	0.113412	0.10027	0.112333	0.0280624	0.0281452	0.0219861	0.0353075	0.0389407	-6.57787e-06	1.01771
4	0	0.45113	0.126597	0.113442	0.100131	0.112193	0.0281375	0.0280918	0.021994	0.035195	0.0390524	0.000284592	1.01691
5	0	0.4517	0.126538	0.113418	0.100065	0.112353	0.0281265	0.0280748	0.0219874	0.035103	0.0389636	0.000172799	1.01737
6	0	0.451939	0.126745	0.113331	0.100284	0.112418	0.0280675	0.0280789	0.0220102	0.0352502	0.0389827	-0.000197223	1.01812
7	0	0.451348	0.126572	0.113416	0.10025	0.112234	0.0280488	0.028168	0.0219595	0.0352959	0.0388678	0.000141259	1.01729
8	0	0.451219	0.126554	0.113466	0.100019	0.112259	0.0281355	0.0280738	0.0219814	0.0351539	0.0391095	0.000275654	1.01686
9	0	0.451774	0.12665	0.113392	0.100114	0.11243	0.028118	0.0280941	0.0220077	0.0351686	0.0390287	-2.16325e-06	1.01775
10	0	0.451663	0.126715	0.113402	0.100294	0.112328	0.0280727	0.0281323	0.0219905	0.0353104	0.0389836	-2.15065e-05	1.01791
11	0	0.451133	0.126577	0.113363	0.100156	0.112228	0.0280618	0.0281222	0.0219705	0.0352726	0.0390039	7.45418e-05	1.01688
12	0	0.451511	0.126619	0.113352	0.0999768	0.112329	0.028182	0.0280214	0.0220203	0.0350841	0.0391967	0.000119559	1.0171
13	0	0.451587	0.126645	0.113334	0.100217	0.112438	0.0280629	0.0281227	0.0219901	0.0352547	0.0389455	-0.000160564	1.01765
14	0	0.451362	0.126652	0.113401	0.100176	0.112237	0.0280768	0.0281223	0.0219653	0.0352956	0.0390855	0.000100269	1.01729
15	0	0.451058	0.126418	0.11351	0.100039	0.112241	0.0281305	0.028087	0.0219863	0.0351373	0.0389272	0.000356572	1.01661
16	0	0.451608	0.126672	0.113428	0.100029	0.112353	0.0281704	0.0280294	0.0220187	0.0351296	0.0392109	0.000124626	1.01744
17	0	0.451612	0.126591	0.113311	0.100329	0.112337	0.028021	0.0281269	0.021988	0.0352955	0.0387808	-0.000158801	1.01761
18	0	0.451156	0.126656	0.113396	0.100105	0.112154	0.0281207	0.0280817	0.0219829	0.0352263	0.0391722	0.00023129	1.01688
19	0	0.451293	0.126483	0.113406	0.10003	0.112307	0.0281213	0.0280631	0.0220028	0.0351134	0.0389662	0.000164631	1.01682
20	0	0.451658	0.126618	0.113384	0.100133	0.112478	0.0281004	0.0280819	0.0220055	0.0352146	0.0390235	-0.000130301	1.01767
21	0	0.451345	0.126669	0.113348	0.10027	0.112242	0.0280583	0.0281578	0.0219797	0.0353157	0.0389584	2.58511e-05	1.01739
22	0	0.451495	0.126481	0.113391	0.100089	0.112305	0.0280773	0.0280893	0.021958	0.0351436	0.0389025	0.000148181	1.01703
23	0	0.451455	0.126617	0.113597	0.100035	0.112286	0.0282446	0.0280545	0.0220806	0.0350757	0.0390853	0.000446017	1.01745
24	0	0.451336	0.126811	0.113396	0.100235	0.112246	0.0281647	0.028097	0.0220181	0.0352361	0.0391747	0.000154884	1.01754
25	0	0.451715	0.126458	0.113316	0.100339	0.11221	0.0279203	0.0281694	0.0219035	0.0352894	0.0385874	2.8471e-06	1.01732
26	0	0.451122	0.126755	0.113468	0.0999425	0.11222	0.0282524	0.0280168	0.0220429	0.0351424	0.0394782	0.000326955	1.01696
27	0	0.455273	0.126344	0.112169	0.0993931	0.112306	0.0285799	0.0275367	0.0224974	0.033804	0.0386095	-0.000316356	1.0179
