State of simulation to be used as initial state: 
V_max = 0.08
nu = 1e-05
system size = [ 100 , 200 ]
################################################################
i	j	f0	f1	f2	f3	f4	f5	f6	f7	f8	u	v	rho
0	0	0.451071	0.126695	0.112859	0.100371	0.112677	0.0316995	0.0251131	0.0250725	0.0316482	0.0388182	0.000269846	1.01721
1	0	0.4509	0.126742	0.112855	0.100258	0.112596	0.0317219	0.0250934	0.0250358	0.0316491	0.0390672	0.000383164	1.01685
2	0	0.451411	0.126839	0.112831	0.100409	0.112874	0.0317036	0.0250973	0.025107	0.0317159	0.0389453	-6.44139e-05	1.01799
3	0	0.451345	0.126793	0.112859	0.100416	0.112813	0.0317045	0.025109	0.0250989	0.0316918	0.0388722	6.68633e-05	1.01783
4	0	0.450957	0.126724	0.112838	0.100298	0.112641	0.0317087	0.0250966	0.0250526	0.0316531	0.0389765	0.000292089	1.01697
5	0	0.451045	0.126805	0.112852	0.100273	0.11267	0.0317267	0.0250886	0.0250481	0.0316755	0.0391244	0.000269212	1.01718
6	0	0.451382	0.126815	0.11283	0.100415	0.112861	0.0316993	0.0251004	0.0251073	0.031708	0.0389019	-4.58416e-05	1.01792
7	0	0.451142	0.126771	0.112822	0.100343	0.112749	0.0317029	0.0250938	0.0250776	0.0316826	0.0389648	0.000107162	1.01738
8	0	0.450929	0.126754	0.112834	0.100262	0.112631	0.0317171	0.0250881	0.0250429	0.0316599	0.039077	0.000300575	1.01692
9	0	0.451264	0.126864	0.11277	0.100323	0.112862	0.0317031	0.0250707	0.025091	0.0317288	0.0391192	-0.000135032	1.01768
10	0	0.451398	0.12679	0.112813	0.100441	0.112886	0.0316873	0.0251022	0.0251185	0.0317079	0.0388268	-0.000108301	1.01794
11	0	0.450922	0.126732	0.112838	0.100276	0.112624	0.0317131	0.0250928	0.0250452	0.031653	0.0390246	0.000316279	1.0169
12	0	0.450948	0.126757	0.112778	0.100267	0.112696	0.0317009	0.025076	0.0250577	0.0316778	0.0390725	0.00012169	1.01696
13	0	0.451298	0.126861	0.112718	0.100341	0.112931	0.0316855	0.0250616	0.0251088	0.0317452	0.0390871	-0.000313495	1.01775
14	0	0.451124	0.126734	0.112838	0.100364	0.112724	0.0316994	0.0251037	0.0250784	0.0316675	0.0388805	0.000168118	1.01733
15	0	0.45089	0.126798	0.112806	0.100209	0.112639	0.0317231	0.0250709	0.0250337	0.0316761	0.0392229	0.000247342	1.01685
16	0	0.451143	0.126779	0.112703	0.100337	0.112869	0.0316716	0.0250658	0.0251026	0.0317181	0.038986	-0.000244614	1.01739
17	0	0.451172	0.126799	0.112755	0.100334	0.112831	0.0316891	0.0250752	0.0250919	0.0317102	0.0390155	-0.000111049	1.01746
18	0	0.450912	0.126656	0.112817	0.100332	0.112639	0.0316891	0.0251028	0.0250631	0.031639	0.0388326	0.000263749	1.01685
19	0	0.450932	0.126821	0.112797	0.10021	0.112669	0.0317233	0.0250667	0.0250383	0.0316873	0.0392518	0.000189156	1.01694
20	0	0.45128	0.126821	0.112792	0.100365	0.112848	0.0316973	0.025085	0.0250975	0.031713	0.0389935	-8.26688e-05	1.0177
21	0	0.451172	0.126731	0.11284	0.100388	0.112746	0.031696	0.0251075	0.0250864	0.0316694	0.0388377	0.000139941	1.01744
22	0	0.450859	0.126746	0.1129	0.100237	0.112529	0.0317387	0.0251004	0.025018	0.0316344	0.0391086	0.000548317	1.01676
23	0	0.451224	0.126767	0.112699	0.100383	0.112913	0.0316617	0.025072	0.0251195	0.0317217	0.0388926	-0.000315714	1.01756
24	0	0.451394	0.126693	0.11271	0.100517	0.112987	0.0316346	0.0250984	0.0251599	0.0317122	0.0385745	-0.000408425	1.01791
25	0	0.450816	0.126799	0.112908	0.100176	0.112501	0.0317569	0.0250892	0.0249989	0.0316426	0.0392787	0.000601134	1.01669
26	0	0.451044	0.126637	0.112823	0.100406	0.112699	0.0316766	0.0251152	0.0250876	0.0316418	0.0386839	0.000183076	1.01713
27	0	0.451376	0.126974	0.112919	0.100287	0.11277	0.0317643	0.0250883	0.0250552	0.0317225	0.0393239	0.000219913	1.01796
28	0	0.451215	0.126743	0.112973	0.100397	0.112634	0.0317335	0.0251371	0.0250615	0.0316382	0.0388384	0.000501435	1.01753
29	0	0.450894	0.126755	0.112891	0.100245	0.112557	0.0317359	0.0250985	0.0250242	0.0316419	0.0391065	0.00049447	1.01684
30	0	0.450988	0.126786	0.112889	0.100263	0.112605	0.0317364	0.0250973	0.0250342	0.0316565	0.0391168	0.000420081	1.01706
31	0	0.45137	0.126771	0.112785	0.100445	0.1129	0.0316766	0.0250984	0.0251239	0.0317088	0.0387955	-0.000169217	1.01788
32	0	0.451046	0.126702	0.112781	0.100355	0.112742	0.0316809	0.0250931	0.0250844	0.0316699	0.0388534	5.79494e-05	1.01715
33	0	0.450924	0.126687	0.112744	0.100312	0.112718	0.0316753	0.0250809	0.0250752	0.0316681	0.0389049	3.77041e-05	1.01688
34	0	0.45122	0.126792	0.112752	0.100361	0.112858	0.031683	0.0250784	0.0251021	0.031713	0.038962	-0.000157441	1.01756
35	0	0.451154	0.126827	0.112779	0.100304	0.112798	0.0317041	0.0250738	0.0250781	0.0317096	0.0391038	-2.89001e-05	1.01743
36	0	0.451074	0.126759	0.112744	0.100322	0.112793	0.0316829	0.0250752	0.025086	0.0316965	0.0389829	-7.17879e-05	1.01723
37	0	0.451064	0.126791	0.112747	0.100292	0.112785	0.0316924	0.0250688	0.0250773	0.0317031	0.0390753	-5.62572e-05	1.01722
38	0	0.451041	0.126766	0.112716	0.100302	0.112804	0.0316791	0.0250655	0.0250852	0.031704	0.0390273	-0.000130925	1.01716
39	0	0.451096	0.126788	0.112755	0.100309	0.112793	0.0316916	0.0250729	0.0250814	0.0317025	0.0390443	-5.68248e-05	1.01729
40	0	0.451095	0.126739	0.112743	0.100347	0.112804	0.0316763	0.02508	0.0250935	0.0316934	0.0389164	-8.97383e-05	1.01727
41	0	0.451073	0.126773	0.112755	0.10031	0.112781	0.0316897	0.0250747	0.0250804	0.031697	0.0390221	-3.82844e-05	1.01723
42	0	0.451043	0.126759	0.112757	0.100308	0.112764	0.0316888	0.0250762	0.0250778	0.0316908	0.039007	-1.08151e-05	1.01717
43	0	0.450984	0.126772	0.112752	0.100272	0.112739	0.0316948	0.0250694	0.0250665	0.0316912	0.0390842	1.92942e-05	1.01704
44	0	0.450815	0.126656	0.112803	0.100289	0.112605	0.0316917	0.0250941	0.0250502	0.0316363	0.0389036	0.000291942	1.01664
45	0	0.451075	0.126776	0.112728	0.100309	0.11281	0.0316826	0.0250681	0.0250863	0.0317056	0.0390285	-0.000121217	1.01724
46	0	0.451069	0.126636	0.112743	0.100417	0.112791	0.0316524	0.025099	0.0251095	0.0316657	0.0386647	-7.00628e-05	1.01718
47	0	0.450752	0.126649	0.112791	0.100266	0.112585	0.031691	0.0250894	0.0250438	0.0316333	0.0389309	0.000303603	1.0165
48	0	0.450989	0.126666	0.112739	0.100358	0.112755	0.0316642	0.0250878	0.0250913	0.0316687	0.038801	-2.38421e-05	1.01702
49	0	0.451199	0.126777	0.112758	0.100363	0.112841	0.0316828	0.0250816	0.0250999	0.0317059	0.0389397	-0.00012176	1.01751
50	0	0.450957	0.126583	0.112873	0.100409	0.112606	0.0316832	0.025132	0.0250727	0.0316085	0.0386073	0.00039388	1.01693
51	0	0.450883	0.126732	0.112805	0.100259	0.112637	0.0317066	0.0250834	0.025046	0.0316593	0.0390533	0.000248544	1.01681
52	0	0.451173	0.126734	0.112736	0.100386	0.112851	0.0316672	0.0250838	0.0251094	0.0316996	0.0388436	-0.000170442	1.01744
53	0	0.451088	0.126717	0.11274	0.100362	0.112804	0.0316703	0.0250833	0.0250975	0.0316883	0.038863	-9.46236e-05	1.01725
54	0	0.450798	0.126629	0.112817	0.100302	0.112582	0.0316903	0.0251015	0.0250494	0.0316245	0.038847	0.000346459	1.01659
55	0	0.450993	0.126767	0.112783	0.10028	0.112714	0.0317015	0.0250776	0.0250623	0.0316821	0.0390648	0.000102157	1.01706
56	0	0.451309	0.126804	0.112784	0.100391	0.11287	0.0316888	0.0250881	0.0251074	0.0317131	0.0389278	-0.000128026	1.01776
57	0	0.450983	0.126685	0.112852	0.100341	0.112639	0.0317011	0.0251088	0.0250615	0.0316413	0.0388552	0.000314756	1.01701
58	0	0.45089	0.126705	0.11282	0.100284	0.112625	0.0317035	0.0250925	0.0250493	0.0316488	0.0389761	0.00028749	1.01682
59	0	0.451108	0.126757	0.112756	0.100339	0.112798	0.0316835	0.02508	0.0250892	0.0316951	0.0389539	-6.11742e-05	1.01731
60	0	0.451106	0.126713	0.112765	0.100373	0.112788	0.0316751	0.0250907	0.0250957	0.0316814	0.0388387	-3.30348e-05	1.01729
61	0	0.450789	0.126644	0.112752	0.100287	0.112642	0.0316764	0.0250839	0.0250595	0.0316455	0.0388908	0.000162242	1.01658
62	0	0.450929	0.126742	0.112786	0.100271	0.112679	0.0317004	0.0250797	0.025056	0.0316704	0.0390447	0.000157697	1.01691
63	0	0.451285	0.126768	0.112786	0.100409	0.112857	0.031682	0.0250943	0.0251102	0.031702	0.0388509	-0.000105368	1.01769
64	0	0.450943	0.126732	0.112788	0.100285	0.112684	0.0316975	0.0250829	0.0250598	0.0316683	0.0390085	0.000153464	1.01694
65	0	0.450855	0.126609	0.112759	0.100343	0.112669	0.0316649	0.0250958	0.0250758	0.0316397	0.0387512	0.000132714	1.01671
66	0	0.451099	0.126837	0.112852	0.100271	0.112698	0.031731	0.025085	0.0250507	0.0316876	0.0391706	0.000227834	1.01731
67	0	0.451217	0.126719	0.112819	0.100417	0.11279	0.0316839	0.0251074	0.0251011	0.0316758	0.038774	4.23517e-05	1.01753
68	0	0.450909	0.126682	0.112821	0.10031	0.112634	0.0316968	0.0250982	0.0250566	0.0316442	0.0389031	0.000276564	1.01685
69	0	0.450952	0.126801	0.112851	0.100234	0.112625	0.0317321	0.0250838	0.0250334	0.0316685	0.0391849	0.000334724	1.01698
70	0	0.451338	0.126758	0.112813	0.10044	0.112856	0.0316833	0.0251052	0.0251149	0.0316956	0.0387858	-6.45719e-05	1.0178
71	0	0.451245	0.126731	0.112893	0.10042	0.11273	0.0317058	0.0251231	0.0250868	0.0316599	0.038785	0.000241256	1.01759
72	0	0.450888	0.126775	0.112941	0.100227	0.112503	0.0317553	0.0251055	0.0250081	0.0316321	0.039162	0.00064759	1.01683
73	0	0.451057	0.126761	0.112906	0.100313	0.112623	0.03173	0.0251097	0.0250468	0.0316505	0.0390012	0.000418057	1.0172
74	0	0.451338	0.126793	0.112849	0.100412	0.112819	0.0317025	0.0251064	0.0250998	0.0316941	0.0388786	4.40437e-05	1.01781
75	0	0.451132	0.126729	0.11286	0.100372	0.112706	0.0317039	0.0251102	0.0250758	0.0316605	0.038861	0.000228554	1.01735
76	0	0.451106	0.126766	0.112892	0.100331	0.112661	0.031724	0.0251084	0.025057	0.031659	0.0389784	0.000341963	1.0173
77	0	0.451319	0.126824	0.112883	0.100379	0.112776	0.0317212	0.0251067	0.0250828	0.031691	0.038975	0.0001586	1.01778
78	0	0.451257	0.126781	0.112934	0.100386	0.112694	0.031729	0.0251233	0.0250699	0.0316616	0.038906	0.000354362	1.01764
79	0	0.451247	0.126768	0.112897	0.100392	0.112727	0.0317157	0.025117	0.0250793	0.0316681	0.038878	0.000250623	1.01761
80	0	0.451266	0.126756	0.112891	0.10041	0.112742	0.0317099	0.0251191	0.0250859	0.0316681	0.0388335	0.000220218	1.01765
81	0	0.451258	0.126809	0.112904	0.100365	0.112726	0.0317272	0.025111	0.0250714	0.0316772	0.038978	0.000262898	1.01765
82	0	0.451261	0.126763	0.112908	0.100402	0.112723	0.0317168	0.0251212	0.02508	0.0316647	0.0388554	0.000273781	1.01764
83	0	0.451198	0.126788	0.112851	0.100354	0.112748	0.0317114	0.0251	0.0250771	0.0316826	0.0389683	0.000151482	1.01751
84	0	0.451145	0.126759	0.112834	0.100354	0.112739	0.0317031	0.0250992	0.0250779	0.0316762	0.0389295	0.000141267	1.01739
85	0	0.45108	0.126777	0.112812	0.100311	0.112728	0.0317061	0.0250871	0.0250683	0.0316824	0.0390258	0.00012449	1.01725
86	0	0.451134	0.126764	0.112876	0.100345	0.112691	0.0317168	0.0251068	0.0250658	0.0316651	0.0389517	0.000272202	1.01736
87	0	0.451178	0.126803	0.11291	0.100333	0.112679	0.0317334	0.025109	0.0250576	0.0316684	0.0390234	0.000341784	1.01747
88	0	0.451231	0.12673	0.112763	0.100415	0.112853	0.0316699	0.0250938	0.0251138	0.0316951	0.0387911	-0.000132572	1.01756
89	0	0.451043	0.126677	0.112753	0.100373	0.112769	0.0316671	0.0250914	0.025095	0.0316716	0.0387919	-2.37807e-05	1.01714
90	0	0.450749	0.12663	0.112805	0.100279	0.112569	0.0316907	0.0250961	0.0250436	0.0316244	0.038885	0.000349438	1.01649
91	0	0.45107	0.126787	0.112714	0.100298	0.112821	0.0316817	0.0250625	0.0250864	0.0317119	0.039061	-0.00015893	1.01723
92	0	0.45124	0.126746	0.112756	0.100406	0.112864	0.0316714	0.0250895	0.0251136	0.0317018	0.0388274	-0.00015965	1.01759
93	0	0.450933	0.126624	0.112772	0.100366	0.112695	0.0316668	0.0251002	0.025083	0.0316452	0.0387325	0.0001139	1.01689
94	0	0.450924	0.126729	0.112848	0.100279	0.112614	0.0317151	0.025096	0.0250438	0.0316492	0.0390145	0.000346694	1.0169
95	0	0.451265	0.126766	0.112749	0.100402	0.112884	0.0316725	0.0250856	0.0251155	0.0317102	0.0388592	-0.000198334	1.01765
96	0	0.451212	0.12671	0.112749	0.100423	0.112857	0.0316623	0.0250937	0.0251177	0.0316925	0.0387516	-0.00015909	1.01752
97	0	0.450813	0.12666	0.112788	0.100285	0.112619	0.0316887	0.02509	0.0250524	0.0316412	0.0389155	0.000250121	1.01664
98	0	0.451105	0.126776	0.112794	0.100323	0.112758	0.031699	0.0250848	0.0250767	0.0316888	0.0390039	5.3453e-05	1.01731
99	0	0.451403	0.126792	0.112835	0.100443	0.112867	0.0316935	0.0251071	0.0251142	0.0317024	0.0388267	-4.66798e-05	1.01796
0	1	0.452702	0.113147	0.113214	0.113314	0.113122	0.0282412	0.0283006	0.0283386	0.0283319	-0.000229265	-3.58117e-05	1.01871
1	1	0.451831	0.112592	0.113254	0.113192	0.112763	0.0282156	0.0280817	0.0282179	0.0284336	-0.000245741	0.000134292	1.01658
